#           k/h    P           
   0.100000E-03   0.417274E+03
   0.102020E-03   0.425411E+03
   0.104081E-03   0.433706E+03
   0.106184E-03   0.442162E+03
   0.108329E-03   0.450784E+03
   0.110517E-03   0.459573E+03
   0.112750E-03   0.468533E+03
   0.115027E-03   0.477668E+03
   0.117351E-03   0.486981E+03
   0.119722E-03   0.496475E+03
   0.122140E-03   0.506154E+03
   0.124608E-03   0.516021E+03
   0.127125E-03   0.526080E+03
   0.129693E-03   0.536335E+03
   0.132313E-03   0.546790E+03
   0.134986E-03   0.557448E+03
   0.137713E-03   0.568313E+03
   0.140495E-03   0.579390E+03
   0.143333E-03   0.590682E+03
   0.146228E-03   0.602194E+03
   0.149182E-03   0.613929E+03
   0.152196E-03   0.625893E+03
   0.155271E-03   0.638090E+03
   0.158407E-03   0.650524E+03
   0.161607E-03   0.663199E+03
   0.164872E-03   0.676121E+03
   0.168203E-03   0.689293E+03
   0.171601E-03   0.702722E+03
   0.175067E-03   0.716412E+03
   0.178604E-03   0.730367E+03
   0.182212E-03   0.744593E+03
   0.185893E-03   0.759096E+03
   0.189648E-03   0.773880E+03
   0.193479E-03   0.788951E+03
   0.197388E-03   0.804314E+03
   0.201375E-03   0.819976E+03
   0.205443E-03   0.835941E+03
   0.209594E-03   0.852216E+03
   0.213828E-03   0.868806E+03
   0.218147E-03   0.885718E+03
   0.222554E-03   0.902958E+03
   0.227050E-03   0.920531E+03
   0.231637E-03   0.938445E+03
   0.236316E-03   0.956705E+03
   0.241090E-03   0.975319E+03
   0.245960E-03   0.994293E+03
   0.250929E-03   0.101363E+04
   0.255998E-03   0.103335E+04
   0.261170E-03   0.105344E+04
   0.266446E-03   0.107393E+04
   0.271828E-03   0.109481E+04
   0.277319E-03   0.111609E+04
   0.282922E-03   0.113778E+04
   0.288637E-03   0.115990E+04
   0.294468E-03   0.118243E+04
   0.300417E-03   0.120541E+04
   0.306485E-03   0.122882E+04
   0.312677E-03   0.125269E+04
   0.318993E-03   0.127701E+04
   0.325437E-03   0.130181E+04
   0.332012E-03   0.132708E+04
   0.338719E-03   0.135283E+04
   0.345561E-03   0.137908E+04
   0.352542E-03   0.140584E+04
   0.359664E-03   0.143310E+04
   0.366930E-03   0.146089E+04
   0.374342E-03   0.148921E+04
   0.381904E-03   0.151808E+04
   0.389619E-03   0.154749E+04
   0.397490E-03   0.157747E+04
