#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742708E-04   0.197864E+08   0.197864E+08   0.256845E+08   0.256834E+08   0.197867E+08   0.197864E+08   0.197864E+08   0.197929E+08  -0.473083E+00   0.104464E+08   0.104464E+08   0.413778E-01
   0.103653E-03   0.197852E+08   0.197852E+08   0.250376E+08   0.250357E+08   0.197837E+08   0.197852E+08   0.197852E+08   0.197915E+08  -0.473047E+00   0.104458E+08   0.104458E+08   0.576781E-01
   0.144660E-03   0.197829E+08   0.197829E+08   0.238202E+08   0.238167E+08   0.197778E+08   0.197828E+08   0.197829E+08   0.197888E+08  -0.472978E+00   0.104446E+08   0.104446E+08   0.803100E-01
   0.201889E-03   0.197784E+08   0.197784E+08   0.216035E+08   0.215975E+08   0.197665E+08   0.197783E+08   0.197784E+08   0.197838E+08  -0.472845E+00   0.104421E+08   0.104421E+08   0.111587E+00
   0.281759E-03   0.197698E+08   0.197698E+08   0.178215E+08   0.178125E+08   0.197445E+08   0.197697E+08   0.197698E+08   0.197742E+08  -0.472594E+00   0.104375E+08   0.104375E+08   0.154449E+00
   0.393226E-03   0.197535E+08   0.197535E+08   0.121606E+08   0.121508E+08   0.197025E+08   0.197533E+08   0.197535E+08   0.197564E+08  -0.472133E+00   0.104288E+08   0.104288E+08   0.212354E+00
   0.548791E-03   0.197235E+08   0.197234E+08   0.570335E+07   0.569982E+07   0.196230E+08   0.197230E+08   0.197235E+08   0.197245E+08  -0.471317E+00   0.104126E+08   0.104126E+08   0.288980E+00
   0.765900E-03   0.196698E+08   0.196697E+08   0.167506E+07   0.167950E+07   0.194759E+08   0.196689E+08   0.196698E+08   0.196693E+08  -0.469942E+00   0.103836E+08   0.103836E+08   0.388250E+00
   0.106890E-02   0.195779E+08   0.195777E+08   0.938333E+06   0.934416E+06   0.192117E+08   0.195762E+08   0.195778E+08   0.195764E+08  -0.467689E+00   0.103343E+08   0.103343E+08   0.515823E+00
   0.149177E-02   0.194262E+08   0.194260E+08   0.231587E+06   0.223402E+06   0.187592E+08   0.194232E+08   0.194262E+08   0.194232E+08  -0.464016E+00   0.102534E+08   0.102534E+08   0.680174E+00
